run_id,config_hash,timestamp,git_commit,hostname,model,runtime,precision,device,input_res,batch_size,power_mode,clocks_locked,fan,warmup_frames,n_frames,duration_s,cold_start_ms,engine_p50_ms,engine_p95_ms,engine_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_mean_ms,capture_ms,preprocess_ms,inference_ms,postprocess_ms,fps_engine,fps_end_to_end,fps_sustained_last_60s,mean_detections,peak_mem_mb,gpu_temp_max_c,throttled,notes
015aa8c13d7e,e403c324,2026-09-04T09:44:25,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,200,8.76,10295.31,27.436,29.896,27.772,41.573,59.879,43.771,3.552,9.472,27.772,2.962,36.01,22.84,,7.5,3048.3,,,"first run, laptop baseline"
28650876340f,e403c324,2026-09-04T09:46:33,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,21.93,3811.18,27.075,71.609,33.656,37.034,82.455,43.851,2.319,5.674,33.656,2.194,29.71,22.8,,8.27,5108.8,,,laptop RTX3050 fp32 baseline
9dbd7dd3f04e,e403c324,2026-09-04T09:49:36,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,42.64,4118.49,71.467,72.856,71.588,83.752,88.965,85.281,3.818,7.602,71.588,2.264,13.97,11.73,,8.27,5110.5,,,thermal check
a929fe3c5b40,e403c324,2026-09-04T10:24:33,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,55.85,9588.47,73.575,85.629,74.335,108.989,131.534,111.694,6.75,22.721,74.335,7.857,13.45,8.95,,8.27,3298.5,,,"laptop RTX3050 fp32, fan reconnected"
92fc144da948,e403c324,2026-09-04T10:28:53,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,15.92,10982.74,17.752,24.398,18.165,30.332,44.211,31.827,2.926,8.088,18.165,2.637,55.05,31.41,,8.27,5115.9,,,"laptop RTX3050 fp32, balanced power, fan on"
cf56a6362322,e403c324,2026-09-04T10:31:09,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,12.18,3957.66,13.081,19.152,14.046,23.422,30.396,24.349,2.398,5.989,14.046,1.909,71.19,41.06,,8.27,5114.8,,,"laptop RTX3050 fp32, best performance, fan on"
725efb66bf39,ac889fda,2026-09-04T10:34:20,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,50,200,12.39,1750.35,50.576,56.318,51.017,61.64,69.234,61.946,2.502,6.23,51.017,2.187,19.6,16.14,,7.51,485.1,,,laptop i9 CPU-only baseline
0f3562b51e85,61366640,2026-09-04T10:35:12,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp16,cuda,640,1,n/a,FALSE,TRUE,50,500,12.34,3451.84,14.568,18.614,15.042,24.025,29.19,24.678,2.279,5.528,15.042,1.822,66.48,40.51,,8.27,4960.3,,,"laptop RTX3050 fp16, best performance, fan on"
89138968cafc,61366640,2026-09-04T10:35:43,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp16,cuda,640,1,n/a,FALSE,TRUE,50,500,12.66,3477.65,14.844,19.8,15.494,24.457,31.145,25.307,2.301,5.614,15.494,1.888,64.54,39.51,,8.27,4958,,,"laptop RTX3050 fp16, best performance, fan on"
169b21e4b68a,61366640,2026-09-04T10:36:37,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp16,cuda,640,1,n/a,FALSE,TRUE,50,500,12.67,3673.57,14.332,23.289,15.679,24.133,33.687,25.331,2.192,5.626,15.679,1.827,63.78,39.47,,8.27,4957.2,,,"laptop RTX3050 fp16, best performance, fan on"
bfb0c4ed4cf0,e403c324,2026-09-04T10:39:19,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,13.55,3550.63,16.32,20.409,16.171,26.86,33.854,27.091,2.324,6.427,16.171,2.159,61.84,36.9,,8.27,5116.7,,,"laptop RTX3050 fp32, best performance, repeat"
837bcf62d3ec,e403c324,2026-09-04T10:41:30,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,12.19,3448.38,13.169,20.404,14.266,23.172,31.11,24.377,2.271,5.987,14.266,1.845,70.1,41.01,,8.27,5114.6,,,fp32 verify run 1
64c28e62fce6,e403c324,2026-09-04T10:41:51,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,10.95,3458.19,12.433,19.578,13.325,20.932,28.282,21.901,1.955,4.946,13.325,1.668,75.05,45.65,,8.27,5117.2,,,fp32 verify run 1
fd0aed992810,e403c324,2026-09-04T10:42:27,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,11.96,3662.57,13.12,20.655,14.501,22.663,30.999,23.912,2.114,5.511,14.501,1.779,68.96,41.81,,8.27,5114.8,,,fp32 verify run 2
b374e8f28eb8,e403c324,2026-09-04T10:43:11,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,11.49,3342.42,12.134,18.445,13.033,22.052,28.088,22.984,2.274,5.842,13.033,1.831,76.73,43.5,,8.27,5117.1,,,fp32 verify run 3
9493c0224b1b,61366640,2026-09-04T10:43:58,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp16,cuda,640,1,n/a,FALSE,TRUE,50,500,11.64,3368.14,13.847,22.782,15.121,21.993,30.971,23.273,1.828,4.728,15.121,1.59,66.13,42.96,,8.27,4959.4,,,fp16 verify run 1
c15ce09cabc8,61366640,2026-09-04T10:44:34,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp16,cuda,640,1,n/a,FALSE,TRUE,50,500,11.83,3600.15,14.051,18.862,14.673,22.728,29.222,23.645,2.066,5.2,14.673,1.699,68.15,42.28,,8.27,4961.3,,,fp16 verify run 2
c7c660561f53,61366640,2026-09-04T10:45:15,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp16,cuda,640,1,n/a,FALSE,TRUE,50,500,11.35,3312.13,13.308,21.978,14.655,21.36,29.972,22.69,1.807,4.638,14.655,1.586,68.24,44.06,,8.27,4961.6,,,fp16 verify run 3
33e46b435607,ac889fda,2026-09-04T10:46:22,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,50,500,28.09,1773.06,45.778,50.726,46.116,55.64,61.763,56.165,2.283,5.686,46.116,2.071,21.68,17.8,,8.27,487.6,,,cpu fp32 verify run 1
0e3de72997bf,ac889fda,2026-09-04T10:47:14,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,50,500,29.9,1903.98,48.552,54.18,49.09,59.186,66.16,59.79,2.429,6.07,49.09,2.192,20.37,16.72,,8.27,479.2,,,cpu fp32 verify run 2
84c066728b9f,ac889fda,2026-09-04T10:48:07,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,50,500,28.06,1779.04,45.554,51.861,46.121,55.343,62.966,56.122,2.246,5.716,46.121,2.03,21.68,17.82,,8.27,487.4,,,cpu fp32 verify run 3
4b271cb92a50,e403c324,2026-09-04T10:48:43,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,11.37,3343,12.298,19.453,13.333,21.394,30.747,22.734,2.226,5.437,13.333,1.733,75,43.98,,8.27,5116.4,,,fp32 verify run 1
8c41fb21a2a4,e403c324,2026-09-04T10:49:11,8e79dbe-dirty,RaviTeja,yolov5nu,pytorch,fp32,cuda,640,1,n/a,FALSE,TRUE,50,500,10.5,3396.69,11.895,18.616,12.851,20.047,26.561,20.993,1.813,4.724,12.851,1.599,77.82,47.63,,8.27,5115.3,,,fp32 verify run 2
