run_id,config_hash,timestamp,git_commit,hostname,model,runtime,precision,device,input_res,batch_size,power_mode,clocks_locked,fan,host_profile,warmup_frames,n_frames,duration_s,cold_start_ms,engine_p50_ms,engine_p95_ms,engine_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_mean_ms,capture_ms,preprocess_ms,inference_ms,postprocess_ms,fps_engine,fps_end_to_end,fps_sustained_last_60s,mean_detections,peak_mem_mb,gpu_temp_max_c,throttled,notes
8487c5b8c935,3004cfbd,2026-09-04T11:25:27,faab8d8-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,balanced-battery-gpufan-off,50,500,80.31,8032.87,171.318,188.678,132.954,204.162,229.755,160.598,5.32,16.829,132.954,5.479,7.52,6.23,4.88,8.27,484.1,,,"cpu fp32, gpu fan detached, run 1"
f0172690763a,231e59ef,2026-09-04T11:26:28,faab8d8-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,best-performance-mains-gpufan-off,50,500,32.18,1740.09,50.417,58.952,51.544,62.899,74.689,64.361,2.789,7.574,51.544,2.445,19.4,15.54,,8.27,475.2,,,"cpu fp32, mains, gpu fan detached, run 1"
6fc7773acc4a,231e59ef,2026-09-04T11:28:10,faab8d8-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,best-performance-mains-gpufan-off,50,500,28.7,1778.99,46.972,51.989,47.11,57.159,63.341,57.402,2.346,5.856,47.11,2.082,21.23,17.42,,8.27,483.9,,,"cpu fp32, mains, gpu fan detached, run 2"
7498de710528,231e59ef,2026-09-04T11:30:10,faab8d8-dirty,RaviTeja,yolov5nu,pytorch,fp32,cpu,640,1,n/a,FALSE,TRUE,best-performance-mains-gpufan-off,50,500,29.87,1831.42,46.894,53.966,47.762,58.323,68.168,59.722,2.728,6.943,47.762,2.283,20.94,16.74,,8.27,482.7,,,"cpu fp32, mains, gpu fan detached, run 3"
c98caf993b78,d2e96e73,2026-09-05T12:08:27,05ee831,raviteja-pc,yolov5nu,tensorrt,fp16,cuda,640,1,MAXN,FALSE,TRUE,jetson-10w-clocks-locked,50,200,16.1,9529.89,51.659,51.747,51.665,80.184,80.533,80.46,5.924,13.935,51.665,8.917,19.36,12.43,,7.55,1074.5,32,,"nano tensorrt fp16, first run, 200-frame smoke test, clocks_locked field recorded incorrectly"
e5101208fcf5,5c57d441,2026-09-05T12:13:32,05ee831-dirty,raviteja-pc,yolov5nu,tensorrt,fp16,cuda,640,1,MAXN,TRUE,FALSE,jetson-10w-clocks-locked-fan-off,50,500,39.87,4232.7,51.652,51.919,51.678,79.557,80.273,79.722,5.707,13.764,51.678,8.555,19.35,12.54,,8.32,1073.2,37.5,,nano tensorrt fp16 run 1
e40b7931711b,5c57d441,2026-09-05T12:15:49,05ee831-dirty,raviteja-pc,yolov5nu,tensorrt,fp16,cuda,640,1,MAXN,TRUE,FALSE,jetson-10w-clocks-locked-fan-off,50,500,39.86,4054.62,51.685,51.945,51.7,79.554,80.402,79.692,5.716,13.605,51.7,8.653,19.34,12.54,,8.32,1076.4,40,,nano tensorrt fp16 run 2
04fafee221d6,5c57d441,2026-09-05T12:16:59,05ee831-dirty,raviteja-pc,yolov5nu,tensorrt,fp16,cuda,640,1,MAXN,TRUE,FALSE,jetson-10w-clocks-locked-fan-off,50,500,40.18,4055.56,51.963,52.18,51.906,80.259,80.845,80.34,5.674,13.632,51.906,9.11,19.27,12.44,,8.32,1071.3,42.5,,nano tensorrt fp16 run 3
bda38a6e9269,89fe0d95,2026-09-05T12:47:27,3f416a5-dirty,RaviTeja,yolov5nu,torchscript,fp32,cuda,640,1,n/a,FALSE,TRUE,whisper-fan-mains-gpufan-off,50,200,19.88,7396.32,67.9,69.388,67.854,104.123,109.735,99.381,6.785,18.756,67.854,5.968,14.74,10.06,,7.5,4994.6,,,torchscript smoke test
b3bdf467ca46,89fe0d95,2026-09-05T12:49:59,3f416a5-dirty,RaviTeja,yolov5nu,torchscript,fp32,cuda,640,1,n/a,FALSE,TRUE,whisper-fan-mains-gpufan-off,50,200,7,3918.62,24.627,26.115,24.777,34.563,36.977,34.999,2.365,6.004,24.777,1.846,40.36,28.57,,7.5,4995.1,,,"torchscript smoke test, windows best-perf but vendor fan whisper"
